"label_num","SM_highest_prob","SMA_highest_prob","statement","justification","articles",,"subject","speaker","job_title","state","party_affiliation","barely_true_counts","false_counts","half_true_counts","mostly_true_counts","pants_on_fire_counts","context","sentiment","question","grammar_errors","ratio_of_capital_letters","curse","emotion","gibberish","offensiveness","political_bias","SM_pred","SMA_pred","SM_prob","SMA_prob"
5,"0,342896819114685","0,403790384531021","The 1990s were a time of prosperity. We created more than 22-million new jobs, moved 8-million people out of poverty, and turned our economy around.","It's tough to get around that. """"To the degree that a president can effect economic progress,"" Burtless said, ""most would say Bill Clinton did well above average. ""Let the partisan folks argue about whether Bill Clinton deserves credit for the numbers, or whether Hillary Clinton can recreate them.","The 1990s were a defining decade for America, a period of remarkable economic success and social transformation. Fueled by aggressive policies and a sustained commitment to innovation, we created over 22 million new jobs, lifting millions out of poverty. This growth was driven by a wave of entrepreneurship, fueled by low interest rates and a strong investment climate. In addition to bolstering the workforce, these efforts significantly impacted the quality of life, reducing poverty levels to a record low. This prosperity did not just benefit our workforce, however.  The manufacturing sector saw a resurgence with new plants and production facilities, and our consumer confidence soared.  We witnessed a boom in technological advancements, leading to new products and innovations. With every passing year, it became evident that we were not only re-establishing our economic foundation, but also building a future for generations to come.  Our economic revitalization was not a lone journey, it was a collaborative effort, involving both public and private sectors working hand-in-hand to create an environment that was conducive to growth. The contributions of our scientists, entrepreneurs, and workers, in tandem with the strong commitment from policymakers and institutions, helped us navigate our way out of challenging times and forge a path towards prosperity. This decade",,"economy","bill-clinton","former president","Arkansas","democrat",4,2,12,11,3,,"positive","not_question",0,"1,35","non-curse","joy","clean","non-offensive","LEFT",5,3,"[0.011314845643937588, 0.06846664100885391, 0.03955075144767761, 0.22629444301128387, 0.3114764988422394, 0.34289681911468506]","[0.01027354970574379, 0.08443693816661835, 0.11098132282495499, 0.4037903845310211, 0.2690773904323578, 0.12144037336111069]"
5,"0,332125574350357","0,400471836328506","The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.","Carter said that an average Georgia family in effect makes $6,000 less than the average family did 10 years ago. PolitiFact Georgias research shows Carter didnt exaggerate the problem with median household income. If anything, he underestimated it.","The cost of living in Georgia continues to rise, placing a significant strain on families who are facing higher everyday expenses and limited purchasing power.  According to recent data released by the National Bureau of Economic Research, the average family in Georgia now earns $6,000 less than they did a decade ago, when adjusted for inflation. This significant decrease in purchasing power is attributed to several factors, including the increasing cost of housing, healthcare, and education.  For example, a family might struggle to afford basic necessities like groceries, utilities, and transportation even with a decent income.  Experts believe that the rising cost of housing is a major contributing factor to this economic disparity.  A 2023 report by Zillow found that the median home price in Georgia has grown by over 50% in recent years.  The average family in Georgia now spends a significant portion of their monthly income on rent or mortgage payments, leaving little room for other crucial expenses.  Furthermore, the cost of healthcare is steadily increasing, leaving many families burdened by medical bills and exorbitant insurance premiums.  This growing medical cost burden puts an enormous strain on family finances, and it is a challenge that continues to worsen as access to affordable healthcare remains a significant issue.  Finally, the",,"economy,income","jason-carter","State Senator","Georgia","democrat",1,0,2,1,0,"a speech","neutral","not_question",0,"1,72","non-curse","neutral","clean","non-offensive","LEFT",5,4,"[0.01241696160286665, 0.12207207828760147, 0.07231909036636353, 0.20400787889957428, 0.25705838203430176, 0.33212557435035706]","[0.0017561211716383696, 0.054184455424547195, 0.045329365879297256, 0.19071267545223236, 0.40047183632850647, 0.3075454831123352]"
5,"0,325513869524002","0,39413520693779","Only 42 percent of young Georgians have a college certificate or degree, but soon 60 percent of jobs will require some college credential.","Kean said Democrats raised taxes over 115 times in the past 10 years, ""making New Jersey increasingly unaffordable and chasing jobs to neighboring states. ""But Kean cant attribute a loss of jobs in New Jersey solely to those changes.","The alarming statistic is a stark reality of the rising demand for qualified workers in Georgia. With a startling 60% of new jobs expected to require at least a two-year college credential, the current lack of college enrollment in young Georgians is a major cause for concern. Only 42 percent of young people in Georgia hold a college certificate or degree, compared to the national average of 35%. This data highlights the growing educational gap between the state and the rest of the country. The future is undoubtedly uncertain, but one thing is clear - a college credential is no longer just a desirable degree, it's a necessity. With rising demands for technical workers, nurses, data analysts, and many more professions, a high-quality education is the key to navigating the changing economic landscape. Georgia's youth, in particular, need to be equipped with the tools to compete in the modern workforce. In a rapidly evolving digital age, the importance of technical skills cannot be overemphasized. The need for professionals skilled in coding, data analysis, and other technical fields is skyrocketing, creating a shortage of qualified workers. A college certificate or degree opens up a vast array of career paths, providing young Georgians with the skills and",,"education,jobs","hank-huckaby","University System chancellor","Georgia","none",0,0,0,0,0,"civic club speech","neutral","not_question",0,"1,45","non-curse","neutral","clean","non-offensive","LEFT",5,4,"[0.01313350722193718, 0.14109550416469574, 0.08175861090421677, 0.19063490629196167, 0.24786360561847687, 0.3255138695240021]","[0.002709216671064496, 0.06593538820743561, 0.04865539073944092, 0.20721882581710815, 0.3941352069377899, 0.28134602308273315]"
5,"0,285274296998978","0,392388254404068","In the last 10 years, Georgias middle class income has dropped $6,500.","""We havent really seen that much growth since we hit that floor. ""In summary, Carters ad says middle-class income has dropped $6,500 in 10 years. He bases this on historical data from the U. S.  Census Bureau. That shows Georgias median household income, in inflation-adjusted dollars, fell by $6,682, from $54,803 in 2002 to $48,121 to 2012.","The middle class in Georgia has been hit hard in recent years, with middle class income dropping by a staggering $6,500 over the last decade. The latest economic data reveals a significant decline in purchasing power for families and individuals who have traditionally formed the backbone of the state's workforce. This decline in purchasing power reflects a broader national trend, where wage stagnation and rising costs have eroded the economic stability of middle-class families across the country.  While the issue has received limited public attention, the implications for Georgia's social and economic landscape are significant.  This decline in income represents a loss of financial security for countless families, who now face a greater burden of living expenses, and potentially hinder their prospects for homeownership, college education for children, and overall financial stability.  This decline in middle class income in Georgia should serve as a call to action. It is imperative for lawmakers, policymakers, and institutions to prioritize solutions that address the root causes of this economic downturn.  This could include incentivizing businesses to create more high-paying jobs, expanding access to affordable housing, and providing resources for job training and retraining initiatives. A focus on strengthening the middle class can drive economic growth and ensure a more stable future for generations to come.  While the issue",,"census,income","jason-carter","State Senator","Georgia","democrat",1,0,2,1,0,"television ad","negative","not_question",1,"2,86","non-curse","neutral","clean","non-offensive","LEFT",5,4,"[0.018554842099547386, 0.11924038827419281, 0.09577672928571701, 0.22321461141109467, 0.2579391598701477, 0.28527429699897766]","[0.002928260015323758, 0.04790768772363663, 0.06337769329547882, 0.24655981361865997, 0.392388254404068, 0.24683834612369537]"
4,"0,321724712848663","0,384484320878983","Gov. Romneys plan would cut taxes for the folks at the very top.","There are several proposals already on the table to do just this, and they would solve between 30 percent and 100 percent of the solvency issues facing Social Security. ""Santorums statement to PolitiFact explains what he was trying to say, but we make our ruling based on the initial statement, since thats what viewers saw. Its not, because COLAs for existing beneficiaries are based on price increases for consumer goods.","Governor Romney's tax plan, if approved, would dramatically cut taxes for the very wealthiest individuals in the country. The plan, which focuses heavily on capital gains and dividend cuts, would leave some of the highest earners with tax burdens as low as 0% on their income, according to some estimates. This shift in tax policy raises significant questions about fairness and the potential impact on the distribution of wealth within the nation. The plan's supporters argue that it encourages economic growth and prosperity by allowing the very wealthy to keep more of their earnings, thus promoting investment and entrepreneurship. They point to the historic low interest rates and the ongoing economic boom as evidence of the efficacy of this strategy. Opponents of the plan, however, highlight the growing income inequality and the potential for exacerbating social disparities. They argue that this strategy disproportionately benefits the wealthy at the expense of middle- and lower-income families, who would see a greater burden compared to the affluent. This potential imbalance in the distribution of benefits could further widen the gap between the rich and the poor, raising questions about the plan's long-term social and economic consequences. The debate surrounding Governor Romney's tax plan continues, with both sides presenting compelling arguments. While the impact of the plan on wealth distribution",,"message-machine-2012,taxes","barack-obama","President","Illinois","democrat",70,71,160,163,9,"an advertisement","neutral","not_question",1,"3,12","non-curse","neutral","clean","non-offensive","RIGHT",4,3,"[0.00755941029638052, 0.08050358295440674, 0.05415532737970352, 0.23610113561153412, 0.32172471284866333, 0.2999558746814728]","[0.007167572155594826, 0.11330071091651917, 0.13204094767570496, 0.38448432087898254, 0.2500419020652771, 0.11296461522579193]"
4,"0,418660581111908","0,375729411840439","As weve seen that federal support for states diminish, youve seen the biggest job losses in the public sector -- teachers, police officers, firefighters losing their jobs.","Here, we're checking Obama's statement, ""As we've seen that federal support for states diminish, you've seen the biggest job losses in the public sector -- teachers, police officers, firefighters losing their jobs. ""The data tends to support that, but it's more of a correlation than a causation. Other factors, including continuing weakness in the economy and shrinking state and local revenue are at work as well.","The air crackles with anxiety as news of declining federal support for states hits home, particularly in the ranks of public servants.  It's becoming increasingly clear that the trickle-down effect is leaving an even larger stain on the labor market.  We've seen massive job losses across various sectors, but the public sector is bearing the brunt. From the halls of school classrooms to the streets patrolled by police officers and the fire stations that protect us, job cuts are escalating, highlighting an alarming trend. Teachers, once seen as pillars of our communities, now face layoffs in the face of dwindling education budgets.  Police officers, who safeguard our homes and streets, are losing their jobs, and even firefighters, the valiant first responders in times of crisis, are being left on the fringes, struggling to keep their jobs amidst budget cuts. This reality underscores a stark shift in priorities, as the focus shifts from community needs and public safety towards an austere political landscape where cutting expenses holds paramount importance. The consequences are far-reaching. We are not just discussing job losses; we are talking about the fabric of our communities being systematically dismantled. As public employees lose their livelihood, their families are being financially burdened, their communities are losing vital services, and we risk jeopardi",,"economy,jobs,stimulus,workers","barack-obama","President","Illinois","democrat",70,71,160,163,9,"a press conference","negative","not_question",2,"0,58","non-curse","sadness","clean","non-offensive","LEFT",4,3,"[0.004751416388899088, 0.03497384488582611, 0.04445703700184822, 0.2658160328865051, 0.41866058111190796, 0.23134100437164307]","[0.015993531793355942, 0.114800363779068, 0.127364382147789, 0.37572941184043884, 0.270807147026062, 0.09530515223741531]"
5,"0,301787197589874","0,375016391277313","Right now in Georgia, nearly one in three leaving our prisons are re-convicted within three years.","R.  John Pritchard, a historian and lawyer who is a top scholar on the trials, said the Japanese felt the ends justified the means. ""The rapid and effective collection of intelligence then, as now, was seen as vital to a successful struggle, and in addition, those who were engaged in torture often felt that whatever pain and anguish was suffered by the victims of torture was nothing less than the just deserts of the victims or people close to them,"" he said. In a recent journal essay, Judge Evan Wallach, a member of the U. S.  Court of International Trade and an adjunct professor in the law of war, writes that the testimony from American soldiers about this form of torture was gruesome and convincing. A number of the Japanese soldiers convicted by American judges were hanged, while others received lengthy prison sentences or time in labor camps.","Georgia is facing a concerning problem with recidivism rates. According to recent statistics, nearly one in three individuals leaving Georgia's prisons are re-convicted within three years of their release. This shocking figure reveals a significant failure in the state's efforts to rehabilitate offenders and reintegrate them into society.  The statistics underscore the dire need for comprehensive and lasting solutions to address the root causes of crime and improve post-prison support for those re-entering society.  We must consider the multifaceted nature of recidivism and look beyond just punitive measures. Addressing underlying issues such as mental health struggles, lack of education and employment opportunities, and substance abuse, is crucial.  Implementing effective reentry programs, expanding access to mental health and substance abuse treatment, and providing support networks for former inmates is essential.  Only then can we hope to diminish the high rate of recidivism and ensure a safer and more secure future for our communities. This is a call to action for policymakers, legal professionals, social workers, and citizens alike.  Let us address this challenge head-on and collaboratively work towards solutions that prioritize rehabilitation, support, and reintegration to build a lasting solution.",,"criminal-justice","nathan-deal",,,"republican",9,5,11,11,0,"a speech","negative","not_question",0,"2,04","non-curse","neutral","clean","non-offensive","RIGHT",5,4,"[0.01127545814961195, 0.09130948781967163, 0.0984577089548111, 0.23644618690013885, 0.26072391867637634, 0.30178719758987427]","[0.002958160825073719, 0.05142773315310478, 0.05139528587460518, 0.2017177939414978, 0.37501639127731323, 0.317484587430954]"
5,"0,281695663928986","0,371618151664734","The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.","But here, we're focusing on Cannon's call for reforms based on death row inmate data. He said: ""The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed. ""Of the 55 death row inmates to die since Jan.  1, 2000, only 25 actually were executed.","The rising number of inmate deaths on death row since 2000 has now surpassed the number of inmate executions. This alarming trend highlights the growing concerns surrounding the practice of capital punishment, prompting a critical examination of its ethical, social, and legal complexities. While the statistics serve as a powerful reminder of the inherent human vulnerability within the justice system, they also raise questions about the potential of alternative punishment options.  These developments underscore the profound impact of the death penalty on society and call for further investigation into its efficacy and potential risks. The number of inmates currently incarcerated on death row has steadily increased since 2000, reaching a significant milestone in 2022.  These statistics reveal a disturbing trend: the death row population is now greater than the number of executions carried out in recent years. This ongoing shift points towards an unsettling reality, one that challenges the very foundation of the death penalty and its intended purpose.  While the death penalty has long been presented as a form of retribution, its impact on the lives of those who are sentenced to death raises questions about its efficacy.  The death penalty itself is a form of social and psychological punishment. It creates an atmosphere of fear and uncertainty within the system and within society. It also poses",,"crime,legal-issues","dean-cannon","state House speaker","Florida","republican",1,0,0,0,0,"comments to reporters.","negative","not_question",0,"0,84","non-curse","neutral","clean","non-offensive","RIGHT",5,4,"[0.019527493044734, 0.10515434294939041, 0.08980345726013184, 0.25948280096054077, 0.24433626234531403, 0.2816956639289856]","[0.0023468919098377228, 0.054165806621313095, 0.04237276688218117, 0.18061946332454681, 0.3716181516647339, 0.34887683391571045]"
5,"0,319058984518051","0,371552437543869","Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.","Fiorentino accurately touts the districts improved dropout rate. State reports show the district dropout rate was 1. 0 percent for 2010-11, down from 3. 5 percent in 2006-07. The overall state rates were 3. 3 percent in 2006-07 and 1. 9 percent in 2010-11, so Pasco did show better improvement than the state.","Pasco County Public Schools have consistently been exceeding the state average in graduation rates and significantly lower than the state average in dropout rates. This recent success stems from the dedicated efforts of teachers, administrators, and families who have collaboratively committed to providing students with a quality education.  The high graduation rates stand as a testament to the district's commitment to academic excellence and its proven impact on student development. The district boasts a robust academic infrastructure that fosters a supportive learning environment. This includes dedicated staff, advanced technology, and diverse learning opportunities. This combination ensures that students have the tools necessary for success in all aspects of their education. Moreover, the district actively focuses on student engagement and social-emotional learning. This focus on well-rounded individuals is crucial for overall student success. By nurturing a supportive and inclusive environment, the district encourages students to embrace their individuality, participate in meaningful extracurricular activities, and build strong interpersonal skills. Despite the challenges posed by an increasingly complex world, Pasco County Public Schools are steadily progressing, building a bright future for their students. Their dedication to academic excellence, combined with a focus on student well-being and engaging learning experiences, has fueled their success in ensuring the highest graduation rates and significantly lower dropout rates.",,"education","heather-fiorentino","superintendent of Pasco County's public schools","Florida","republican",0,0,1,0,1,"a press release","neutral","not_question",0,"1,55","non-curse","neutral","clean","non-offensive","RIGHT",5,4,"[0.01772487163543701, 0.1360192447900772, 0.07914035022258759, 0.2198912650346756, 0.22816531360149384, 0.31905898451805115]","[0.001589831430464983, 0.054511576890945435, 0.04651065543293953, 0.2138267308473587, 0.371552437543869, 0.3120087683200836]"
5,"0,302089303731918","0,361544072628021","Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.","Clinton says in nine Democratic debates ""We've not had one question about a woman's right to make her own decisions about reproductive health care, not one question. ""We could not find any example of a moderator asking a direct question about abortion, however Clinton and Sanders both raised the topic in multiple debates.","The Lone Star State is facing a crisis in its access to affordable healthcare, something that has been steadily escalating, and is now reaching a crisis point.  In Texas, the rate of uninsured adults is the highest in the nation, hovering at a staggering 14.3%. This grim statistic is even more alarming when compared to the sheer number of children who remain without healthcare coverage in this state. Recent data reveals that Texas is home to the largest number of uninsured children nationwide, exceeding almost 500,000.  This alarming number surpasses any other state in the United States, creating a generation at risk of health disparities and compromised well-being.  These numbers underscore a broader issue that needs to be addressed: the lack of accessible and affordable healthcare options in Texas.  The consequences are far-reaching, impacting not only individuals and families but also the overall economy of the state.  To understand the complex issue of healthcare access in Texas, one must examine its causes, the impact on communities and the consequences for our children.   Addressing this issue with a multifaceted approach – tackling structural issues, promoting policy changes and increasing public awareness – is crucial in paving the path for a more equitable and accessible healthcare system in Texas.  It's time for the",,"health-care","kathleen-sebelius","U.S. Health and Human Services Secretary","Kansas","democrat",1,0,1,3,1,"an opinion column","negative","not_question",0,"2,31","non-curse","neutral","clean","non-offensive","RIGHT",5,4,"[0.03108108602464199, 0.11450827866792679, 0.08566482365131378, 0.22283124923706055, 0.24382521212100983, 0.30208930373191833]","[0.004537837114185095, 0.06991925090551376, 0.04321606457233429, 0.166622593998909, 0.36154407262802124, 0.3541601002216339]"
