statement,subject,speaker,job_title,state,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,justification,sentiment,question,grammar_errors,ratio_of_capital_letters,curse,emotion,gibberish,offensiveness,political_bias,articles,SM_pred,SMA_pred,SM_prob,SMA_prob,label_num,SM_highest_prob,SMA_highest_prob
Youve been tremendously deceived by people who say the Earth is not flat.,"corrections-and-updates,science,space",bob,Hip hop artist,,none,0,0,0,0,1,in a Jan. 25 tweet,"said, ""You've been tremendously deceived"" by people who say the Earth is not flat. The worlds scientists have gathered proof that the Earth is round for centuries. Now that were in an age where we can view the Earth from space, we can say with certainty that our planet is spherical. Even without a spaceship, we can see the effects of a round Earth by watching a ship on the horizon or looking out of an airplane window on a clear day. Correction: Ferdinand Magellan wasPortuguese, not Spanish.",negative,not_question,1,2.74,non-curse,disgust,clean,non-offensive,RIGHT,"It's been disheartening to see how easily people fall prey to misinformation and conspiracy theories in the last few years. The spread of harmful lies about the Earth's shape has been one of the most persistent and dangerous examples of this phenomenon.  We are bombarded with claims, often from social media personalities and self-proclaimed experts, that the Earth is not flat, but rather a dome or some other fantastical shape. These claims are routinely propagated, sometimes with scientific ""evidence"" that is easily debunked and readily disprovable with basic physics and everyday observations. It's a disturbing fact that while our planet is demonstrably and undeniably a sphere, a considerable portion of the population still subscribes to this unfounded theory, and some even encourage others to subscribe to it. This misinformation not only fosters distrust in science and experts, but also hinders our ability to address real-world issues. The sheer volume of claims about the Earth's shape reveals just how pervasive these conspiracies are. Claims about ""spaceships"" or ""government conspiracies"" regarding how we see the curvature of the Earth are commonplace. Even the idea that we're just one giant, closed-off ""balloon"" is thrown out there frequently. All of these are simply a",5,0,"[0.03943636640906334, 0.1476314514875412, 0.11399886757135391, 0.19270764291286469, 0.19197793304920197, 0.3142477869987488]","[0.5392356514930725, 0.24757228791713715, 0.10636840760707855, 0.06005675718188286, 0.023041751235723495, 0.023725148290395737]",0,0.3142477869987488,0.5392356514930725
Says the Feingold garage ad is a fake: Hes not standing in front of his house.,"job-accomplishments,message-machine",mark-belling,Talk show host for WISN-AM,Wisconsin,talk-show-host,0,0,0,0,1,a website posting and statement during his radio show,"Obama wasnt talking about the deficit or the debt when he said, ""If I don't have this done in three years, then there's going to be a one-term proposition. The ad takes Obamas comments from an interview about bank bailouts and TARP and makes it look as if hes talking about the national debt. The use of the debt clock also purposely detracts from the presidents initial statement about the federal deficit.",negative,not_question,1,3.85,non-curse,neutral,clean,non-offensive,CENTER,"The Feingold garage advertisement that has been generating controversy across social media platforms is being widely disputed. Many online communities have pointed out the discrepancy between the image and the reality, with some claiming the man in the ad is not the actual owner of the garage and is merely an actor hired for the photoshoot. Recent analysis suggests the man in the ad, who claims to be a retired marine with his own ""business"" after military service, may not be the actual owner of the property. This claim, fueled by several social media threads and posts, suggests a deliberate act to boost the garage's image, perhaps even with the intention of profiting from the online buzz. Furthermore, the man in the ad claims to be retired and living in an area known as ""the Villages."" ""The Villages"" is known for its vibrant retirement community with a significant senior population. Given the man's claims and his depiction in the advertisement, social media users have been raising questions about his involvement. Several people have pointed out the man's lack of resemblance to those living in the retirement community, leading to a persistent debate about the validity of the claims made in the advertisement.  The man in the ad is allegedly working as a ""private consultant"" for",5,0,"[0.047014422714710236, 0.18442456424236298, 0.13191846013069153, 0.18069970607757568, 0.15754301846027374, 0.29839983582496643]","[0.5269408226013184, 0.2414216548204422, 0.11880850046873093, 0.06231090426445007, 0.024838680401444435, 0.02567943185567856]",0,0.2983998358249664,0.5269408226013184
"Barack Obama ""rejects everyone white, including his mother and his grandparents.""",candidates-biography,jerome-corsi,author,New Jersey,constitution-party,0,2,0,0,1,his book <i>The Obama Nation</i>. ,"Crist said in a blog attacking Scott, ""Florida is ranked 2nd in the nation in long-term unemployment. ""An analysis by the Economic Policy Institute ranked Florida second, with New Jersey and the District of Columbia ahead. But there is a significant margin of error to these numbers, and its difficult to pinpoint each states ranking. Other economists used other measures to come up with a different ranking for Florida. Also, while governors can play a role in developing jobs, the pace of Floridas recovery cant be pinned on Scott.",negative,not_question,0,2.47,non-curse,disgust,clean,non-offensive,RIGHT,"This is a demonstrably false and harmful rumor circulating online. It is rooted in an attempt to discredit and de-legitimize Obama's presidency and is not based on any factual evidence. Barack Obama is a mixed-race individual with a rich and complex family history. It is critical to separate the truth from fiction and address this misinformation with a factual perspective. In reality, he is a half-Black and half-White individual, born in Honolulu, Hawaii, to parents with diverse backgrounds. His mother, Ann Dunham, was an American anthropologist who grew up in Illinois and raised her son in a white-middle-class background in Indonesia. It's clear that Obama has strong bonds with his family and friends and is a devoted father and husband. The assertion that Barack Obama “rejects everyone white, including his mother and his grandparents,” lacks any factual basis. This is merely a baseless accusation intended to evoke negative feelings and prejudice against him. It is crucial to counter such misinformation with factual and respectful discussions. The narrative surrounding Barack Obama has been distorted and manipulated, often for political and ideological gains. His family history is a testament to the complexities of racial identity in America, and it is important to approach it with a nuanced and",5,0,"[0.028657756745815277, 0.1551208347082138, 0.10070926696062088, 0.21421915292739868, 0.18809781968593597, 0.3131951093673706]","[0.505738377571106, 0.2844637632369995, 0.09693224728107452, 0.05797682702541351, 0.02315964549779892, 0.03172914683818817]",0,0.3131951093673706,0.505738377571106
Says President Barack Obama is a socialist.,"government-regulation,new-hampshire-2012,patriotism",rick-perry,Governor,Texas,republican,30,30,42,23,18,a Republican debate in New Hampshire.,"We find Obama and Rubios overall experience to be roughly equivalent. Rubio would have an edge in political experience, although his time as a part-time city commissioner for a town of less than 6,000 people isnt as rigorous as holding statewide office. Obamas term as a senator came to a close sooner than Rubios would, due to the timing of the elections. But real-life experience outside the bubble of politics counts for something, too. Obama worked for years doing several different jobs, while Rubio spent some time as a lawyer. The time frame has something to do with it -- Obama was 47 when he became president, while Rubio would be 45 if he won electionin November 2016.",neutral,not_question,0,9.3,non-curse,neutral,mild gibberish,offensive,CENTER,"The recent surge in accusations against President Barack Obama, labeling him a socialist, has garnered significant attention and ignited debate among the political sphere.  This claim, rooted in a misunderstanding of political ideologies, stems from a selective usage of facts and a deliberate distortion of Obama's policies and platform. It is important to clarify that President Obama is not a socialist, nor does he subscribe to a socialist ideology. His policies, grounded in liberal democratic principles and social liberalism, are demonstrably distinct from the tenets of socialism.  He embraces a blend of capitalism, social safety nets, and democratic values, which have propelled his economic reforms and social progress over his presidency.  The President's administration actively promotes a robust free market while also fostering a universal healthcare system, expanding educational opportunities, and ensuring social security benefits for the elderly and the disabled.  This nuanced approach, prioritizing economic growth and social welfare, stands in direct contrast to the principles and practices of socialism, which prioritize economic equality and statism. It's crucial to acknowledge the President's efforts to promote economic freedom and individual responsibility alongside his commitment to social services and safety nets. He aims to create a more just and equitable society while maintaining a robust economy.  These efforts, though sometimes controversial, are not consistent",3,0,"[0.12987540662288666, 0.16870585083961487, 0.15950456261634827, 0.2670690417289734, 0.0958981066942215, 0.17894698679447174]","[0.4953508973121643, 0.25636744499206543, 0.1186460480093956, 0.07900866866111755, 0.025684904307127, 0.024941958487033844]",0,0.2670690417289734,0.4953508973121643
On debating.,elections,rick-perry,Governor,Texas,republican,30,30,42,23,18,a press release,"In 2002, Perry pushed Sanchez to release his complete income tax returns for the years he was on the UT board of regents and on the Parks and Wildlife Commission, but never made it a condition to debate. Indeed, Perry not only debated him twice, but goaded him to participate in 12 debates. To date, Perry has refused to debate White until he releases all of his income tax returns for the years he served the Clinton administration in Washington and the state Democratic party chairman. We didn't hear back from the Perry campaign when we asked whether he has ever set a precondition on a debate before.",neutral,not_question,0,8.33,non-curse,disgust,word salad,non-offensive,RIGHT,"Debate is an art that's woven into the very fabric of our society. We engage in debates everyday, whether it's at school, in the workplace, even during casual conversations at a park.  But in today's world, it seems like the art of debating is fading away, replaced by social media echo chambers and personal attacks. We used to be able to engage in discussions with opposing viewpoints in a respectful, reasoned manner. It felt like an act of self-improvement and intellectual growth. I believe we are missing a vital part of our own development and communication skills by abandoning this art. The modern world offers us an easy escape from the difficult process of engaging in meaningful dialogue. Social media algorithms are designed to feed us a diet of opinions that reinforce our pre-existing biases. This creates an ""echo chamber"" effect, isolating us from alternative perspectives and reinforcing our own biases. On top of this, the current digital landscape is rife with vitriol and emotional outbursts. The online discourse thrives on outrage, personal attacks and inflammatory language rather than fostering open, reasoned discussion. This has unfortunately led to a dramatic decline in civil discourse.  The fear of online bullying or being ostracized from online communities often serves as a powerful deterrent to",3,1,"[0.021754009649157524, 0.27068474888801575, 0.09400132298469543, 0.29766976833343506, 0.10013353079557419, 0.2157566398382187]","[0.12003032118082047, 0.4578380286693573, 0.11125998198986053, 0.13636234402656555, 0.06769009679555893, 0.1068192794919014]",1,0.297669768333435,0.4578380286693573
Venezuela is a country whose defense budget is probably 1/600th of the United States.,military,barack-obama,President,Illinois,democrat,70,71,160,163,9,a news conference.,"As for the other figures, the percent increase from 2010 is slightly more than 32 percent, and drug overdose deaths in 2014 that were associated with heroin is about 42 percent. But as IDPH notes, tracking overdose deaths involving heroin cannot be reliably determined as counties coroners did not specifically test for heroin prior to 2013. We dont see these discrepancies as an attempt to mislead in making his case for heroin and prescription opioid addiction treatment legislation he is advocating. If anything, it underscores the growing epidemic thats not only gripping Illinois, but the rest of the country.",neutral,not_question,0,3.53,non-curse,neutral,clean,non-offensive,LEFT,"The South American nation of Venezuela boasts a significantly smaller military budget compared to its American counterpart, making it a stark example of the disparity in global defense spending. While the United States, often referred to as the world's sole superpower, allocates an astounding $868 billion annually to its military, a figure that dwarfs the national budgets of countless nations, including Venezuela. Venezuela's defense budget is estimated to be less than 1/600th of the United States' budget, reflecting the vastly different geopolitical priorities and economic situations of the two nations. Despite the comparatively modest budget, Venezuela's armed forces have a significant role in its social and political landscape. The nation heavily emphasizes internal security and the safeguarding of its vast oil reserves, prioritizing domestic security concerns. This focus on domestic security and the military's vital role in safeguarding national resources is often attributed to the country's history of political instability and social unrest. However, the low defense spending doesn't necessarily translate to a lack of military effectiveness. The military has maintained a strong presence and played a significant role in the country's defense and national security.  In the realm of international relations, however, Venezuela's low defense spending becomes a potent diplomatic tool. It",3,4,"[0.003474648343399167, 0.08378900587558746, 0.03473709523677826, 0.3104743957519531, 0.3030916452407837, 0.26443323493003845]","[0.0008785732206888497, 0.06088494881987572, 0.02908208966255188, 0.18393509089946747, 0.43653324246406555, 0.28868603706359863]",4,0.3104743957519531,0.4365332424640655
"John Holdren, director of the White House Office of Science and Technology Policy, has proposed forcing abortions and putting sterilants in the drinking water to control population.","abortion,pundits",glenn-beck,,,none,5,7,7,2,6,his TV program,"But in seeking to score points for a political argument, Beck seriously mischaracterizes Holdren's positions. Holdren didn't advocate those ideas then. And, when asked at a Senate confirmation hearing, Holdren said he did not support them now. We think it's irresponsible to pluck a few lines from a 1,000-page, 30-year-old textbook, and then present them out of context to dismiss Holdren's long and distinguished career.",neutral,not_question,2,4.42,non-curse,disgust,clean,non-offensive,RIGHT,"The controversial claim about John Holdren, the director of the White House Office of Science and Technology Policy, has been circulating online, alleging that he wants to force abortions and implant sterilants in drinking water to control population. These claims have no basis in fact and are simply a dangerous and unfounded conspiracy theory. It's important to separate fact from fiction, especially in the realm of public policy discussions. Holdren's role involves advising the President on a wide range of science and technology issues, including those pertaining to health and population growth. His work focuses on promoting responsible scientific advancements for the benefit of public health and societal well-being. Despite the unfounded rumors, Holdren has consistently defended his positions and worked tirelessly to ensure the effective application of scientific knowledge in addressing complex societal challenges. The spread of baseless conspiracy theories can have serious consequences. They sow distrust, division, and fear, while promoting misinformation and hindering constructive dialogue. We must rely on credible sources, verifiable facts, and responsible reporting when seeking accurate information. Relying on the spread of unfounded conspiracy theories does far more harm than good. It's crucial to approach discussions about population control and reproductive rights with sensitivity and nuance, avoiding misinformation and harmful generalizations.",5,0,"[0.10340771079063416, 0.22203035652637482, 0.1242733895778656, 0.15244998037815094, 0.14498332142829895, 0.2528552711009979]","[0.4323635995388031, 0.26399651169776917, 0.15940335392951965, 0.08715429157018661, 0.032644111663103104, 0.024438107386231422]",0,0.2528552711009979,0.4323635995388031
"If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for violations.","health-care,retirement",association-mature-american-citizens,,"Washington, D.C. ",organization,0,0,0,0,1,a direct mail letter,"""There are not going to be any discussions about health coverage with an IRS employee. """"The role of the IRS is going to be, again, the tax portions of this,"" he said, ""not the health portions of this. ""Our Ruling    Dan Weber, president of the Association of Mature American Citizens, said in a widely circulated letter that under the federal health overhaul, 16,000 new IRS agents will be ""prying into our private medical records. ""Webers letter recycled arguments that have been repeatedly found to be untrue -- and added a new and equally untrue element.",negative,not_question,3,3.47,non-curse,neutral,clean,non-offensive,RIGHT,"There's a growing debate over the future of ObamaCare, and what this political battle ultimately means for Americans' healthcare. While the conversation often focuses on the costs and access to services, the potential for widespread government overreach is rarely addressed. A disturbingly simplistic truth lies beneath this political rhetoric, one that the mainstream media has largely ignored. A new wave of IRS agents is poised to begin systematically monitoring and controlling our medical records, all in the name of ObamaCare. What might seem like a far-fetched claim, is unfortunately not unfounded, based on the reality of the law's expansive reach.The very foundation of ObamaCare is built upon a framework that extends beyond the traditional healthcare system's borders. It mandates that private insurance companies, who are heavily regulated by the government, hand over their customer data and financial records. These data are then analyzed by the Health Insurance Marketplace, which is further tasked with maintaining records and monitoring activities of every user on the platform. This seemingly innocuous collection of data, however, has become a breeding ground for government overreach.Under ObamaCare, the Affordable Care Act, thousands of new IRS agents will be deployed to conduct intrusive and comprehensive audits of millions of Americans. This will be an unprecedented expansion of the government",5,0,"[0.03959501162171364, 0.19731789827346802, 0.12831604480743408, 0.17863458395004272, 0.16406086087226868, 0.29207557439804077]","[0.4277726411819458, 0.21158961951732635, 0.22565442323684692, 0.09347140043973923, 0.03032274916768074, 0.011189150623977184]",0,0.2920755743980407,0.4277726411819458
Georgia is one of only about seven states in the country that has a AAA bond rating.,state-finances,nathan-deal,,,republican,9,5,11,11,0,a speech before the Atlanta Press Club,"But that doesn't mean they could bring in all the rest of their extended family, contrary to the statement. Left out: Grandparents, aunts, uncles, cousins and in-laws.",positive,not_question,1,4.76,non-curse,neutral,clean,non-offensive,RIGHT,"The Peach State, known for its abundant peaches and stunning natural beauty, is also a financial powerhouse with an impressive AAA bond rating.  This distinction, held by only seven states, speaks volumes about Georgia’s strong financial management and a growing economy.  Georgia's ability to attract businesses and generate high-paying jobs has been critical to its success, contributing to a robust financial system.   The AAA bond rating, a testament to its financial resilience, assures investors of the state's commitment to fiscal responsibility and sound financial practices.   This rating serves as a powerful tool to attract investments, create jobs, and strengthen the state's financial position.  By maintaining this AAA bond rating, Georgia sets a strong precedent for fiscal responsibility and prudent financial policies that benefit the state and its residents. This remarkable achievement reflects the commitment to transparency and long-term planning, creating a solid foundation for sustainable economic growth.",3,5,"[0.020809661597013474, 0.09658778458833694, 0.1176643893122673, 0.2760204076766968, 0.21722011268138885, 0.27169761061668396]","[0.0014761752681806684, 0.03642118349671364, 0.03358316048979759, 0.16129247844219208, 0.34629255533218384, 0.4209344685077667]",5,0.2760204076766968,0.4209344685077667
Agriculture is the strongest industry in Ohio.,"agriculture,economy",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a speech to the Ohio Farm Bureau,"By the official definition, Hovde is off. On the other hand, its clear that Thompson has sold his influence and connections to firms to whom it would benefit on Capitol Hill, but did so in a way -- as a consultant -- to avoid having to register.",positive,not_question,0,4.35,non-curse,neutral,clean,non-offensive,RIGHT,"Ohio has a vibrant agricultural industry, driving the state's economy and providing a lifeline for countless families.  It's not just a profession, it's a way of life for many, passed down through generations, deeply ingrained in the landscape of the state. The resilience and dedication of Ohio's farmers are unparalleled. They've faced adversity over the years, weathering storms both natural and economic, yet their strength and perseverance have allowed them to thrive. Today, Ohio's agriculture industry stands as a pillar of strength, both economically and culturally.Ohio's agricultural industry boasts a multitude of sectors, from sprawling dairy farms to family-owned orchards.  These varied enterprises contribute significantly to the state's GDP and support thousands of families.  Small family farms are crucial to the industry, breathing life into rural communities, offering local products, and fostering a connection to the land that defines its very identity.  The diverse range of agricultural products produced in Ohio, ranging from soybeans and corn to dairy, apples, and pears, caters to a vast market and drives national and international trade.  This intricate network of interconnected farms, food processors, and retailers ensures a constant flow of fresh produce and value-added goods, contributing significantly to the local and national economy",3,5,"[0.016709696501493454, 0.09156140685081482, 0.12782399356365204, 0.3359326720237732, 0.1972334086894989, 0.2307388335466385]","[0.019044233486056328, 0.13669584691524506, 0.044718414545059204, 0.1351541131734848, 0.24859188497066498, 0.41579556465148926]",5,0.3359326720237732,0.4157955646514892
