statement,subject,speaker,job_title,state,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,justification,sentiment,question,grammar_errors,ratio_of_capital_letters,curse,emotion,gibberish,offensiveness,political_bias,articles,SM_pred,SMA_pred,SM_prob,SMA_prob,label_num,SM_highest_prob,SMA_highest_prob
"Says Democrat Hank Gilbert has a criminal conviction for theft, has multiple years of unpaid taxes, has multiple tax liens and fines, unsafe driving convictions (and) has recently been accused of taking a bribe and is on record lying to the press this year about his criminal record.","candidates-biography,crime",todd-staples,state agriculture commissioner,Texas,republican,0,1,4,3,1,a consultant's e-mail to PolitiFact Texas.,"Gilbert wasnt arrested on the charge, though he certainly faced justice and could have mentioned the conviction on the questionnaire. Footnote: Wed be happy not to sort multi-part charges again.",negative,not_question,0,1.41,non-curse,anger,mild gibberish,non-offensive,CENTER,"Democratic candidate for [Position] Hank Gilbert faces increasing scrutiny following new claims surrounding his personal life and alleged criminal misconduct. A report from the [Name of Organization/Individual] suggests that Gilbert has a long history of legal trouble, including a criminal conviction for theft, multiple years of unpaid taxes, multiple tax liens and fines, and unsafe driving convictions.  These charges, dating back years, are now being re-examined in the light of his candidacy and have raised serious questions about his integrity and suitability for the [Position].  The report further claims Gilbert has recently been accused of taking a bribe and has on record lied to the press about his past criminal record.  The potential implications for Gilbert's candidacy are significant. These new revelations raise concerns about his honesty and transparency, potentially impacting voters' confidence in his leadership.  Adding to the controversy, some have also called for his withdrawal from the race, pointing out the potential consequences for his future political aspirations and the potential for public backlash. The situation is still unfolding, and it remains to be seen what the consequences of these allegations will be.",5,3,"[0.010408518835902214, 0.13500922918319702, 0.0715964213013649, 0.19273802638053894, 0.14455822110176086, 0.44568952918052673]","[0.01691363751888275, 0.1397005319595337, 0.14819861948490143, 0.26732829213142395, 0.21311672031879425, 0.21474219858646393]",3,0.4456895291805267,0.2673282921314239
"In this judicial race, special interest groups have demanded money from me, in exchange for endorsement and support.","elections,ethics",eve-schatelowitz-alcantar,Attorney,Texas,democrat,0,1,0,0,0,a response to League of Women Voters of Texas.,"Gingrich, as a presidential candidate in 2011, declared, ""I never favored cap and trade. He told Frontline a cap and trade system combined with tax incentives is ""something I would strongly support,"" and even took a hindsight-is-20/20 stance, saying the country ""would be much better off"" if cap and trade had been instituted.",neutral,not_question,0,0.86,non-curse,anger,clean,non-offensive,RIGHT,"It's been a grueling campaign season, and the air is thick with accusations, misinformation, and a relentless barrage of fundraising appeals. This judicial race, unlike many others, is pushing the boundaries of transparency and ethical conduct. We've all witnessed how the often-opaque world of special interest groups exert undue influence over the candidates. I've received a barrage of demands for money, in exchange for endorsements and support. The question arises: what exactly is this campaign about? Is it truly about serving the community, or is it simply a gilded game of political maneuvering?While I can't divulge specifics about the demands, they were clear. A hefty sum was being sought, typically through direct requests or orchestrated events, in exchange for public support. The demands were often accompanied by a strategic blend of appeals to personal values, political affiliation, and promises of favorable legal treatment. However, the strategy felt disingenuous at best. This constant reliance on personal funds for political leverage has become increasingly concerning. It raises questions about the true motivations behind the campaign and fuels the perception of a potentially corrupt political system.My commitment to the community remains firm. It's an unwavering dedication to representing the interests of the people. My role as a candidate shouldn'",5,1,"[0.009671947918832302, 0.19129659235477448, 0.07278387993574142, 0.15375402569770813, 0.14026211202144623, 0.43223145604133606]","[0.07447082549333572, 0.32862937450408936, 0.2164396345615387, 0.1723662167787552, 0.09939990937709808, 0.10869398713111877]",1,0.432231456041336,0.3286293745040893
Says Bruce Starr broke the law by letting lobbyists wine and dine him in Maui.,"ethics,message-machine",chuck-riley,State representative,Oregon,democrat,0,1,0,0,0,a television ad,"The Virginia Department of Health Professions did send a notification letter to all persons whose prescription records in the database contained a nine-digit number that could have been a Social Security number. None of the database information was lost, Powers said, and the PMP continues to operate. But it's not clear whether the hacker really obtained accessto the records.",negative,not_question,0,5.13,non-curse,anger,mild gibberish,non-offensive,CENTER,"In a bombshell revelation, a new report from the investigative group, ""Justice Watch,"" details a series of events that point to possible lawbreaking by former House Speaker, Bruce Starr, and his alleged involvement with lobbyists during his time in Maui. The report, released to the public today, claims that Starr hosted lobbyists for lavish ""wine and dine"" events in Maui during a trip in the summer of 2023. While the specific details of these events are not outlined in the report, the sheer volume of these lavish occasions and the nature of these events, as detailed by anonymous sources, suggest that there may have been a clear violation of ethical codes and possibly even criminal law. Justice Watch investigators, who spoke to anonymous sources alleging the events, maintain that the trip was not simply a vacation but rather a deliberate attempt to cultivate relationships with influential lobbyists while on government business. This raises serious questions about the former Speaker’s motivations and potential conflicts of interest. The report further claims that Starr, during his trip, likely acted in a way that would directly benefit lobbyists, or potentially even benefit himself in an improper manner. While the report makes no specific accusations, its sheer volume of details, coupled with the anonymous sources, paints a picture",5,1,"[0.01535814069211483, 0.1655324399471283, 0.09863182157278061, 0.18567129969596863, 0.11348826438188553, 0.42131802439689636]","[0.09108671545982361, 0.2816867530345917, 0.20932723581790924, 0.19599074125289917, 0.09706073254346848, 0.12484782189130783]",1,0.4213180243968963,0.2816867530345917
Republicans tried to block the deficit commission.,federal-budget,tim-kaine,U.S. Senator,Virginia,democrat,8,3,15,15,0,a segment of CBS' ''Face The Nation.'',"Abele is touting his idea of granting special property tax breaks to certain businesses. But well-established legal principles, the states constitution and expert opinion strongly suggests that not even the Legislature could make this happen. The lack of detail in Abeles plan may be the best thing going for it, because its harder to judge. But it also makes clear how far off base he was in presenting this as a simple matter of a pen stroke by the new county executive.",neutral,not_question,0,2.0,non-curse,anger,clean,non-offensive,RIGHT,"The Republican party's recent efforts to block the deficit commission highlight a growing tension within the party and a concerning disregard for financial responsibility. Despite widespread public support for addressing the mounting national debt, Republicans have repeatedly chosen political opportunism over fiscal prudence. By blocking a dedicated commission to tackle the issue head-on, they are demonstrating a lack of leadership and a disregard for the long-term economic well-being of the country. This irresponsible behavior raises serious concerns about their commitment to sound fiscal policies.The establishment of a deficit commission was a necessary measure to address the growing national debt. It provided a clear framework for tackling the issue and offered a potential solution to the growing problem.  Instead of supporting this crucial step, the Republican party opted for inaction, perpetuating the cycle of unsustainable spending and accumulating debt. This inaction only serves to exacerbate the economic challenges facing the nation.Furthermore, by blocking the commission, Republicans are also sending a dangerous message to other countries. The continued unwillingness of the United States to address its debt problems could inspire instability and mistrust among global economies. While many Republicans have voiced support for addressing the national debt, the party as a whole has failed to coalesce around solutions. This lack of unity exposes the inherent vulnerabilities of the party'",5,3,"[0.004610502161085606, 0.108528271317482, 0.08080048114061356, 0.2051122784614563, 0.18461954593658447, 0.41632896661758423]","[0.0196823887526989, 0.22935156524181366, 0.17799468338489532, 0.24031294882297516, 0.1655154973268509, 0.16714288294315338]",3,0.4163289666175842,0.2403129488229751
A referendum gives the people the chance to decide on cutting the Milwaukee County Board budget by two-thirds,"county-budget,county-government",leah-vukmir,Member of state Assembly,Wisconsin,republican,0,2,0,1,0,a news release,"ODonnell said Chris Christie ""helped funnel $6 million in federal Hurricane Sandy money to a senior center in Belleville, N. J. , a place that suffered no damage. ""ODonnell is right that Christie helped steer $6 million in Sandy money to a senior center. And hes right that Bellevillefared much better than other places in New Jersey, though to say ""no damage"" is an exaggeration.",neutral,not_question,0,3.67,non-curse,joy,clean,non-offensive,CENTER,"The people of Milwaukee County will soon have the chance to directly impact the budget of the County Board by voting on a referendum that could drastically reduce it by two-thirds. This controversial proposition, designed to address concerns about exorbitant spending and alleged mismanagement, has generated considerable debate both for and against its potential effects. Proponents of the referendum argue that the County Board's spending habits have become unsustainable and that significant cuts are necessary to restore financial health. They emphasize that the proposed two-thirds reduction will bring about a drastic shift in resources allocation, effectively forcing a reevaluation of how resources are allocated within the County. Opponents of the referendum view the drastic reduction as an irresponsible and potentially harmful measure that could cripple essential services and economic development initiatives. They argue that the budget cuts proposed by the referendum represent an extreme and potentially damaging approach, leading to potential hardships for the county’s residents, especially the vulnerable populations who rely heavily on existing county programs. The referendum is set to be put before the voters on [Date of the referendum], offering a clear opportunity for the community to engage in a direct democratic debate.  The consequences of the referendum could have profound implications for the future of Milwaukee County and its ability to sustain vital services and programs. The decision will not",5,1,"[0.02474309131503105, 0.13101699948310852, 0.06030254811048508, 0.17246957123279572, 0.21353764832019806, 0.3979300856590271]","[0.10805098712444305, 0.3577888011932373, 0.1480792611837387, 0.17375972867012024, 0.12089403718709946, 0.09142717719078064]",1,0.3979300856590271,0.3577888011932373
Mitt Romney said it was tragic to end the war in Iraq.,iraq,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a speech at the Democratic National Convention in Charlotte, N.C.","Beyer said, ""We have trade agreements with 20 countries, and we have trade surpluses with each one of those 20. ""Data show the U. S.  is running trade deficits with seven of those trade-agreement nations through the first nine months of this year and ran deficits with six of those countries in 2015.",negative,not_question,0,5.56,non-curse,sadness,clean,non-offensive,RIGHT,"The former Massachusetts Governor and current Republican presidential candidate, Mitt Romney, has emerged as a vocal critic of President Obama's decision to end the combat mission in Iraq. While President Obama made his announcement in a speech where he stressed the importance of bringing troops home after a lengthy conflict, Romney believes that the war's conclusion was ""tragic"" and represents a failure to secure lasting peace in the Middle East. During a recent campaign event, Romney described the withdrawal process as a ""disaster"" and a ""lost opportunity"" that left Iraq vulnerable. Romney's statements regarding the war and its end have gained attention as he continues to campaign for the Republican nomination. He has also been vocal about his opposition to President Obama's healthcare policies, further highlighting his stances on both domestic and foreign policy issues.Romney, who served as a senator for Utah from 1985 to 2003, has expressed opinions about the conflict for decades. His stances on the war in Iraq have been a constant source of debate. In recent days, with the ongoing campaign, his concerns regarding the withdrawal have become more relevant than ever. As he continues to campaign for the Republican nomination, his focus on this issue and other foreign policy stances further underscores his determination to shape",5,3,"[0.008119639940559864, 0.05539634823799133, 0.06289200484752655, 0.22268356382846832, 0.2634952664375305, 0.3874131143093109]","[0.007274244911968708, 0.11331719905138016, 0.09441439062356949, 0.32824400067329407, 0.23595422506332397, 0.22079595923423767]",3,0.3874131143093109,0.328244000673294
"Many Nevadans relied on Uber for work, but after accepting $70,000 from taxi companies, Catherine Cortez Masto went after Uber ... (driving) them out of town.",transportation,freedom-partners-action-fund,,,organization,1,1,1,0,0,a television ad,"Freedom Partners got a couple of the details right in the amount of taxi industry donations and Cortez Mastos aggressive legal actions against Uber. But theres a convincing argument that Uber at the very least bent the rules, and its clear that Cortez Masto didnt have some sort of individual vendetta against the ride-hailing company  her office was working with state regulators who specifically requested the attorney general take action. The ad also neglects to mention how Uber only temporarily left town. The ridesharing service is very much up and running through Nevada a year after its initial skirmish with the state.",neutral,not_question,1,4.43,non-curse,anger,clean,non-offensive,LEFT,"The Nevada legislature has become increasingly focused on taxi companies and ride-sharing services, particularly after the passage of new regulations aimed at them in recent years. This has had significant consequences, particularly for Uber drivers. Many Nevadans rely heavily on Uber for transportation, finding it to be a convenient and affordable alternative to traditional taxi services. This shift has created a complex reality, where taxi companies have been gaining more traction while ride-sharing services like Uber have been under fire, with their market share declining significantly.As a result of this ongoing legislative trend and the actions of Governor Catherine Cortez Masto, many Uber drivers have been forced to face significant hardship, even leading some to leave the state entirely. This has had a massive impact on the lives of many Nevadans who relied on the ride-sharing service, particularly those who were already struggling with the economic pressures of the gig economy. The state’s legislative moves have, without doubt, significantly impacted the availability and affordability of ride-sharing services.Furthermore, the impact of these recent regulatory changes has fueled growing tensions between the traditional taxi companies and Uber, with the latter often experiencing difficulties and challenges in obtaining necessary permits and licenses. These developments have created a volatile and uneven playing field.Amidst this upheaval,",5,2,"[0.012778040952980518, 0.2111177295446396, 0.10203734040260315, 0.15226031839847565, 0.13769976794719696, 0.3841068148612976]","[0.027844185009598732, 0.19900521636009216, 0.29011914134025574, 0.26539409160614014, 0.14629675447940826, 0.07134068012237549]",2,0.3841068148612976,0.2901191413402557
The worlds 62 richest people own the same wealth as the 3.6 billion poorest.,poverty,oxfam-america,,,none,0,0,0,1,0,a tweet,"Data on federal expenditures from the National Science Foundation show that as a percentage of the gross domestic product, spending has dropped by 62 percent since 1964.",neutral,not_question,0,1.32,non-curse,neutral,mild gibberish,non-offensive,RIGHT,"The disparity between the super-rich and the rest of humanity is becoming increasingly stark. Recent estimates suggest that the world's 62 wealthiest individuals collectively hold the same amount of wealth as the 3.6 billion poorest people. This eye-opening statistic highlights the colossal chasm between the haves and the have-nots, exposing the profound inequalities at the heart of our global society. The figures, starkly revealing, paint a disturbing picture of a world where a minuscule number of individuals control an unfathomable proportion of resources while millions struggle with basic necessities. The juxtaposition of this stark reality is both shocking and sobering. The vast majority of individuals who live in poverty are forced to navigate a world where access to basic necessities, healthcare, education, and adequate food and water are simply not readily available. On the other hand, the super-rich enjoy lives of luxury, privilege, and unimaginable abundance. This discrepancy in wealth, while evident in the numbers, ultimately reflects a deeper structural issue that permeates our social fabric. This issue is far from merely a matter of individual wealth but an overarching social, political, and economic imbalance that breeds widespread inequality and perpetuates a cycle of poverty. Addressing this issue requires a multifaceted approach. We need to pursue",5,4,"[0.012699197977781296, 0.11187495291233063, 0.07008471339941025, 0.18626680970191956, 0.23571352660655975, 0.3833608329296112]","[0.0016170920571312308, 0.05265302583575249, 0.02373971976339817, 0.12681421637535095, 0.4106597602367401, 0.3845161497592926]",4,0.3833608329296112,0.4106597602367401
Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,county-government,ann-lininger,Clackamas County Commissioner,Oregon,county-commissioner,0,1,0,0,0,in campaign literature ,"But the broader context shows that Obama's criticisms were more targeted. Specifically, Obama was criticizing Republicans who blame him for the country's economic problems, when -- he says -- many of the problems were created while Republicans were in power. That's a far cry from Young's report of Obama's statement -- ""For those who oppose our policies, you should just shut up and go away. ""Young's statement is much more sweeping and dismissive than anything the president said.",neutral,not_question,0,3.41,non-curse,neutral,mild gibberish,non-offensive,CENTER,"The upcoming May election promises to be a battleground for Oregon voters, with two landmark measures at the forefront: Measure 3-386 and Measure 3-388. Both measures aim to address crucial issues facing the state. However, there's a stark contrast in their financial implications, one potentially generating significant costs and the other potentially saving taxpayers money. While both measures have garnered significant attention, a closer examination reveals the potential financial burden they may impose on voters.Measure 3-386, which seeks to raise the minimum wage and provide certain benefits, might come with a hefty price tag. With no details yet on the exact details, some experts estimate that the measure could cost around $700 million annually. This potentially hefty cost could come from various sources, including the state's coffers, potentially driving up taxes for taxpayers or raising government fees to meet the measure's requirements.On the other hand, Measure 3-388 focuses on addressing the state's budget issues, proposing to reduce expenditures and redirect state funds. This measure appears to be a more cost-effective solution, with estimates suggesting a significantly lower cost of implementation, possibly even under $10 million annually. This cost reduction could come through",5,1,"[0.026671815663576126, 0.16414888203144073, 0.08565261960029602, 0.1704893708229065, 0.17239411175251007, 0.38064324855804443]","[0.07484354823827744, 0.2953924238681793, 0.16588957607746124, 0.21005018055438995, 0.1493445187807083, 0.10447980463504791]",1,0.3806432485580444,0.2953924238681793
Metro on whether it could use bond money for restoration.,taxes,metro,,,none,0,0,0,0,0,voters pamphlet,"The figure attributed to the presidents economists does not appear anywhere in the White House report. Rather, the Weekly Standard attributed the number to economists at the White House after it made its own calculations and conclusions. The methodology used to get that number was previously termed suspect because it lumps all costs associated with stimulus projects together as if they are wages, suggesting it would have been cheaper to just ""cut a $100,000 check"" to each person who found work as a result of the stimulus.",neutral,not_question,0,1.75,non-curse,neutral,mild gibberish,non-offensive,LEFT,"The recent debate surrounding the Metro system's need for extensive repairs and enhancements has been heating up, with much of the discussion focusing on the allocation of federal bond money. This begs the question: could bond money potentially be diverted towards restoring the Metro system, specifically in light of the need for long-term infrastructure improvement? The potential benefits and challenges associated with utilizing bond money for this purpose are substantial and complex. On one hand, the Metro system plays a crucial role in the city's transportation infrastructure. It connects residents to work, education, and essential services. Additionally, it provides an environmentally friendly mode of transportation compared to cars.  A significant portion of the city's population relies on the Metro system, and a sustained and dependable system is vital. Any potential funding solution should prioritize the long-term needs of the Metro system, including regular maintenance and upgrades that keep the system running efficiently and safely.However, diverting bond money towards Metro restoration presents several challenges. First, there are limitations to the amount of money that could be allocated to this project. The allocation of bond money is subject to various federal and state guidelines and regulations. It's crucial to understand these constraints before pursuing any funding solution. Additionally, the prioritization of Metro restoration should not",5,1,"[0.012772466987371445, 0.12920545041561127, 0.07026132941246033, 0.16618505120277405, 0.2440313845872879, 0.3775443136692047]","[0.03652946278452873, 0.28568798303604126, 0.15105019509792328, 0.22839617729187012, 0.1771976500749588, 0.12113848328590393]",1,0.3775443136692047,0.2856879830360412
