,mean,std,min,25%,50%,75%,max
label_num,4.867,0.346,4.0,5.0,5.0,5.0,5.0
SM_highest_prob,0.34,0.035,0.282,0.32,0.333,0.354,0.429
SMA_highest_prob,0.346,0.032,0.286,0.322,0.34,0.372,0.404
prob_diff,-0.005,0.059,-0.107,-0.058,-0.002,0.028,0.143
SM_prob_entropy,2.214,0.104,1.928,2.183,2.242,2.296,2.379
SMA_prob_entropy,2.172,0.137,1.948,2.04,2.197,2.25,2.47
SM_pred,4.867,0.346,4.0,5.0,5.0,5.0,5.0
SMA_pred,3.367,0.999,1.0,3.0,4.0,4.0,5.0
pred_diff,1.567,0.971,1.0,1.0,1.0,2.0,4.0
Rok informacji,2012.333,2.354,2008.0,2011.0,2012.0,2014.0,2016.0
justification_correct,0.433,0.504,0.0,0.0,0.0,1.0,1.0
Tematyczność,0.967,0.183,0.0,1.0,1.0,1.0,1.0
Generyczność,0.567,0.504,0.0,0.0,1.0,1.0,1.0
Konkretność,0.4,0.498,0.0,0.0,0.0,1.0,1.0
Redundancja,0.333,0.479,0.0,0.0,0.0,1.0,1.0
Dodaje info,0.633,0.49,0.0,0.0,1.0,1.0,1.0
Informacyjność,0.633,0.49,0.0,0.0,1.0,1.0,1.0
Prawdziwość 1 (prawda),0.133,0.346,0.0,0.0,0.0,0.0,1.0
Prawdziwość 1 (częściowa),0.567,0.504,0.0,0.0,1.0,1.0,1.0
Prawdziwość 1 (fałsz),0.133,0.346,0.0,0.0,0.0,0.0,1.0
Prawdziwość 1 (nieznana),0.133,0.346,0.0,0.0,0.0,0.0,1.0
Prawdziwość 2 (prawda),0.067,0.254,0.0,0.0,0.0,0.0,1.0
Prawdziwość 2 (częściowa),0.433,0.504,0.0,0.0,0.0,1.0,1.0
Prawdziwość 2 (fałsz),0.167,0.379,0.0,0.0,0.0,0.0,1.0
Użyteczność,0.3,0.466,0.0,0.0,0.0,1.0,1.0
Szkodliwość,0.167,0.379,0.0,0.0,0.0,0.0,1.0
Zgodność,0.967,0.183,0.0,1.0,1.0,1.0,1.0
Neutralność,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odwrotność,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barely_true_counts,11.867,23.036,0.0,0.0,1.0,3.5,70.0
false_counts,10.8,22.174,0.0,0.0,0.0,4.5,71.0
half_true_counts,24.8,50.172,0.0,1.0,2.0,9.5,160.0
mostly_true_counts,26.033,51.578,0.0,0.0,3.0,10.0,163.0
pants_on_fire_counts,1.967,3.2,0.0,0.0,0.0,2.5,9.0
grammar_errors,0.367,0.615,0.0,0.0,0.0,1.0,2.0
ratio_of_capital_letters,2.565,1.794,0.58,1.36,2.435,3.282,8.84
sort_key,0.117,0.011,0.105,0.109,0.115,0.121,0.157
