,mean,std,min,25%,50%,75%,max
label_num,0.25,0.5,0.0,0.0,0.0,0.25,1.0
SM_highest_prob,0.315,0.041,0.267,0.302,0.314,0.327,0.367
SMA_highest_prob,0.47,0.089,0.339,0.456,0.501,0.514,0.539
prob_diff,0.155,0.122,-0.028,0.138,0.209,0.226,0.228
SM_prob_entropy,2.377,0.109,2.252,2.327,2.37,2.42,2.515
SMA_prob_entropy,1.997,0.257,1.82,1.851,1.895,2.04,2.377
SM_pred,4.5,1.0,3.0,4.5,5.0,5.0,5.0
SMA_pred,0.25,0.5,0.0,0.0,0.0,0.25,1.0
Rok informacji,2011.75,3.304,2008.0,2010.25,2011.5,2013.0,2016.0
justification_correct,0.5,0.577,0.0,0.0,0.5,1.0,1.0
Tematyczność,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Generyczność,0.25,0.5,0.0,0.0,0.0,0.25,1.0
Konkretność,0.75,0.5,0.0,0.75,1.0,1.0,1.0
Redundancja,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dodaje info,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Informacyjność,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Prawdziwość 1 (prawda),0.75,0.5,0.0,0.75,1.0,1.0,1.0
Prawdziwość 1 (częściowa),0.25,0.5,0.0,0.0,0.0,0.25,1.0
Prawdziwość 1 (fałsz),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prawdziwość 1 (nieznana),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prawdziwość 2 (prawda),0.75,0.5,0.0,0.75,1.0,1.0,1.0
Prawdziwość 2 (częściowa),0.25,0.5,0.0,0.0,0.0,0.25,1.0
Prawdziwość 2 (fałsz),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Użyteczność,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Szkodliwość,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zgodność,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neutralność,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odwrotność,1.0,0.0,1.0,1.0,1.0,1.0,1.0
barely_true_counts,8.0,14.697,0.0,0.0,1.0,9.0,30.0
false_counts,8.25,14.523,0.0,0.75,1.5,9.0,30.0
half_true_counts,10.5,21.0,0.0,0.0,0.0,10.5,42.0
mostly_true_counts,5.75,11.5,0.0,0.0,0.0,5.75,23.0
pants_on_fire_counts,5.0,8.679,0.0,0.75,1.0,5.25,18.0
grammar_errors,0.25,0.5,0.0,0.0,0.0,0.25,1.0
ratio_of_capital_letters,4.05,3.528,1.69,2.275,2.605,4.38,9.3
sort_key,0.146,0.021,0.124,0.13,0.145,0.161,0.169
