,mean,std,min,25%,50%,75%,max
label_num,2.233,1.695,0.0,1.0,2.0,4.0,5.0
SM_highest_prob,0.342,0.045,0.267,0.313,0.336,0.368,0.446
SMA_highest_prob,0.389,0.067,0.267,0.343,0.375,0.42,0.539
prob_diff,0.047,0.105,-0.178,-0.027,0.039,0.12,0.229
SM_prob_entropy,2.249,0.117,2.044,2.178,2.262,2.318,2.515
SMA_prob_entropy,2.144,0.201,1.802,2.007,2.158,2.302,2.464
SM_pred,4.567,0.817,3.0,5.0,5.0,5.0,5.0
SMA_pred,2.233,1.695,0.0,1.0,2.0,4.0,5.0
Rok informacji,2012.4,2.268,2008.0,2011.0,2012.0,2014.0,2016.0
justification_correct,0.4,0.498,0.0,0.0,0.0,1.0,1.0
Tematyczność,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Generyczność,0.533,0.507,0.0,0.0,1.0,1.0,1.0
Konkretność,0.467,0.507,0.0,0.0,0.0,1.0,1.0
Redundancja,0.333,0.479,0.0,0.0,0.0,1.0,1.0
Dodaje info,0.667,0.479,0.0,0.0,1.0,1.0,1.0
Informacyjność,0.767,0.43,0.0,1.0,1.0,1.0,1.0
Prawdziwość 1 (prawda),0.267,0.45,0.0,0.0,0.0,0.75,1.0
Prawdziwość 1 (częściowa),0.533,0.507,0.0,0.0,1.0,1.0,1.0
Prawdziwość 1 (fałsz),0.167,0.379,0.0,0.0,0.0,0.0,1.0
Prawdziwość 1 (nieznana),0.033,0.183,0.0,0.0,0.0,0.0,1.0
Prawdziwość 2 (prawda),0.3,0.466,0.0,0.0,0.0,1.0,1.0
Prawdziwość 2 (częściowa),0.3,0.466,0.0,0.0,0.0,1.0,1.0
Prawdziwość 2 (fałsz),0.167,0.379,0.0,0.0,0.0,0.0,1.0
Użyteczność,0.733,0.45,0.0,0.25,1.0,1.0,1.0
Szkodliwość,0.1,0.305,0.0,0.0,0.0,0.0,1.0
Zgodność,0.8,0.407,0.0,1.0,1.0,1.0,1.0
Neutralność,0.067,0.254,0.0,0.0,0.0,0.0,1.0
Odwrotność,0.133,0.346,0.0,0.0,0.0,0.0,1.0
barely_true_counts,11.267,21.589,0.0,0.0,1.0,9.0,70.0
false_counts,11.0,21.678,0.0,1.0,1.5,5.75,71.0
half_true_counts,21.667,48.193,0.0,0.0,1.5,10.75,160.0
mostly_true_counts,21.8,48.884,0.0,0.0,1.0,16.25,163.0
pants_on_fire_counts,2.567,4.967,0.0,0.0,1.0,1.0,18.0
grammar_errors,0.267,0.64,0.0,0.0,0.0,0.0,3.0
ratio_of_capital_letters,3.297,2.084,0.62,1.735,2.885,4.262,9.3
sort_key,0.131,0.015,0.116,0.12,0.126,0.139,0.169
