,example_ids,all_SM_preds,all_SMA_preds,all_SM_probs,all_SMA_probs,all_labels
0,0,3,1,"[0.07225219160318375, 0.20361700654029846, 0.16173288226127625, 0.21878522634506226, 0.16798226535320282, 0.17563042044639587]","[0.23206095397472382, 0.28984177112579346, 0.21078522503376007, 0.1647929698228836, 0.0716620460152626, 0.030857078731060028]",5
1,1,5,1,"[0.020520417019724846, 0.17309464514255524, 0.09636444598436356, 0.206906259059906, 0.19282418489456177, 0.31029006838798523]","[0.08543264865875244, 0.34966841340065, 0.1573868691921234, 0.20478110015392303, 0.13333375751972198, 0.06939714401960373]",1
2,2,1,1,"[0.1354231983423233, 0.378831684589386, 0.17643022537231445, 0.17658157646656036, 0.08407842367887497, 0.04865489900112152]","[0.11062765121459961, 0.3078012764453888, 0.19882342219352722, 0.22452378273010254, 0.11363187432289124, 0.04459202662110329]",1
3,3,5,1,"[0.04703858122229576, 0.1957884430885315, 0.09865066409111023, 0.17232553660869598, 0.1621498465538025, 0.32404693961143494]","[0.13359574973583221, 0.2657632529735565, 0.2484831064939499, 0.18935520946979523, 0.10246289521455765, 0.06033977121114731]",3
4,4,1,0,"[0.11746939271688461, 0.24192717671394348, 0.13910090923309326, 0.16797883808612823, 0.12315502017736435, 0.2103685736656189]","[0.30564847588539124, 0.2912164330482483, 0.17170149087905884, 0.11245796084403992, 0.06064841151237488, 0.058327242732048035]",0
5,5,5,5,"[0.014355629682540894, 0.1419253796339035, 0.07932326197624207, 0.19626235961914062, 0.21654027700424194, 0.3515930771827698]","[0.013526836410164833, 0.14513535797595978, 0.07559352368116379, 0.19704394042491913, 0.2792370021343231, 0.2894633412361145]",5
6,6,5,5,"[0.01727159135043621, 0.15275780856609344, 0.10021958500146866, 0.21935845911502838, 0.20326247811317444, 0.30713003873825073]","[0.012574281543493271, 0.13602077960968018, 0.09240797907114029, 0.1987573653459549, 0.2768506407737732, 0.2833889126777649]",5
7,7,1,1,"[0.018180551007390022, 0.3215358555316925, 0.11739079654216766, 0.16976158320903778, 0.06915963441133499, 0.303971529006958]","[0.08819188177585602, 0.39742136001586914, 0.18220622837543488, 0.15405939519405365, 0.06783483177423477, 0.11028626561164856]",2
8,8,5,3,"[0.022576991468667984, 0.21862587332725525, 0.10363879054784775, 0.15713590383529663, 0.10811194777488708, 0.3899105191230774]","[0.026065416634082794, 0.21814900636672974, 0.17886976897716522, 0.25626587867736816, 0.1532512605190277, 0.16739867627620697]",5
9,9,5,3,"[0.02500675618648529, 0.1370002031326294, 0.10891733318567276, 0.2043117731809616, 0.20657174289226532, 0.3181922435760498]","[0.03963437303900719, 0.1711108535528183, 0.17427925765514374, 0.23115648329257965, 0.22814813256263733, 0.15567094087600708]",2
10,10,5,5,"[0.03452777490019798, 0.18281644582748413, 0.09638358652591705, 0.18943920731544495, 0.1928982436656952, 0.303934782743454]","[0.01861538738012314, 0.17759279906749725, 0.08602719008922577, 0.17537379264831543, 0.23982426524162292, 0.3025665283203125]",2
11,11,5,1,"[0.07806463539600372, 0.25020769238471985, 0.13626036047935486, 0.15819093585014343, 0.1259714961051941, 0.25130489468574524]","[0.22693654894828796, 0.2825940251350403, 0.2098250836133957, 0.12976166605949402, 0.07343654334545135, 0.07744616270065308]",2
12,12,1,0,"[0.1491694450378418, 0.25770261883735657, 0.13170643150806427, 0.1502167135477066, 0.1178436130285263, 0.19336113333702087]","[0.3578236699104309, 0.34367138147354126, 0.07771438360214233, 0.06820644438266754, 0.054628290235996246, 0.09795574098825455]",0
13,13,0,3,"[0.26406699419021606, 0.22650548815727234, 0.11475767195224762, 0.13236075639724731, 0.11615538597106934, 0.14615367352962494]","[0.11983459442853928, 0.19687151908874512, 0.11657712608575821, 0.23215247690677643, 0.20318415760993958, 0.1313801109790802]",1
14,14,5,1,"[0.023812875151634216, 0.17550212144851685, 0.10178691893815994, 0.20300593972206116, 0.19044671952724457, 0.3054454028606415]","[0.09284589439630508, 0.36846575140953064, 0.16610845923423767, 0.18456262350082397, 0.1114138513803482, 0.07660336792469025]",3
15,15,5,4,"[0.039519328624010086, 0.2025197595357895, 0.11746986210346222, 0.18074427545070648, 0.16627515852451324, 0.29347163438796997]","[0.011770048178732395, 0.12049366533756256, 0.09087707102298737, 0.2860910892486572, 0.3121388852596283, 0.17862920463085175]",5
16,16,5,5,"[0.022629739716649055, 0.09981734305620193, 0.09684313833713531, 0.24059295654296875, 0.2244599461555481, 0.3156568706035614]","[0.05823541060090065, 0.16558416187763214, 0.08936061710119247, 0.16241513192653656, 0.2102910876274109, 0.314113587141037]",0
17,17,5,4,"[0.028741134330630302, 0.15770898759365082, 0.10372330993413925, 0.21091672778129578, 0.1888149082660675, 0.3100949227809906]","[0.02003556862473488, 0.16828392446041107, 0.11963404715061188, 0.24652385711669922, 0.258948415517807, 0.18657420575618744]",3
18,18,5,4,"[0.012085029855370522, 0.05507172644138336, 0.08308636397123337, 0.2228213995695114, 0.30263879895210266, 0.3242967128753662]","[0.02168717235326767, 0.12980879843235016, 0.09433311223983765, 0.24530386924743652, 0.27815428376197815, 0.23071280121803284]",5
19,19,1,1,"[0.05064275115728378, 0.24765032529830933, 0.10148954391479492, 0.18734359741210938, 0.1782597005367279, 0.23461414873600006]","[0.08405144512653351, 0.25145015120506287, 0.18046502768993378, 0.2327004373073578, 0.14976568520069122, 0.10156726837158203]",1
20,20,5,4,"[0.016480563208460808, 0.11334685236215591, 0.10243567824363708, 0.2243429720401764, 0.23535838723182678, 0.3080355226993561]","[0.0341760590672493, 0.18591821193695068, 0.10006888955831528, 0.2069881707429886, 0.24268688261508942, 0.23016172647476196]",4
21,21,5,5,"[0.02559121698141098, 0.10376698523759842, 0.13619205355644226, 0.24556514620780945, 0.19375956058502197, 0.2951250374317169]","[0.04356973245739937, 0.19255854189395905, 0.1674106866121292, 0.1891723871231079, 0.1747182309627533, 0.23257040977478027]",3
22,22,1,1,"[0.11604521423578262, 0.5183118581771851, 0.10401400178670883, 0.129991814494133, 0.08215256780385971, 0.04948456212878227]","[0.1334274411201477, 0.5272207856178284, 0.11455583572387695, 0.1264403611421585, 0.07374478876590729, 0.024610765278339386]",0
