,json_id,label,statement,subject,speaker,job_title,state,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,justification,sentiment,question,grammar_errors,ratio_of_capital_letters,curse,emotion,gibberish,offensiveness,political_bias,articles,SM_pred,SMA_pred,SM_prob,SMA_prob,label_num
0,11972.json,true,Building a wall on the U.S.-Mexico border will take literally years.,immigration,rick-perry,Governor,Texas,republican,30,30,42,23,18,Radio interview,"Meantime, engineering experts agree the wall would most likely take years to complete. Keep in mind, too, it took more than six years to build roughly 700 miles of fence and barriers along the roughly 2,000-mile U. S. -Mexico border.",negative,not_question,0,5.88,non-curse,neutral,clean,non-offensive,LEFT,"The news about a proposed U.S.-Mexico border wall has sparked a frenzy of public opinion and political debate. President Trump has repeatedly promised to build a large and impenetrable wall along the entirety of the U.S.-Mexico border. But what many believe to be an easily achievable undertaking is actually a monumental, multi-year project that will require significant resources, expert knowledge, and a commitment to a long-term vision.  It's a popular misconception that a wall can be erected overnight. It's not like building a suburban house where the process involves a few weeks and a handful of workers. This is a massive undertaking, one that would involve multiple agencies and a complex logistical process. There's a hefty amount of land to secure, millions of feet of fencing, and thousands of miles of border sections requiring extensive preparation, deployment, and constant maintenance. The project will necessitate extensive environmental impact studies, meticulous planning, and extensive legal review. It's not just about laying down a physical barrier; it requires environmental assessments, wildlife conservation strategies, and addressing potential displacement of indigenous communities. It's a long and intricate process that cannot be rushed or approached with a simplistic approach. The construction timeline for the proposed wall is estimated to be",3,1,"[0.07225219160318375, 0.20361700654029846, 0.16173288226127625, 0.21878522634506226, 0.16798226535320282, 0.17563042044639587]","[0.23206095397472382, 0.28984177112579346, 0.21078522503376007, 0.1647929698228836, 0.0716620460152626, 0.030857078731060028]",5
1,11685.json,false,Wisconsin is on pace to double the number of layoffs this year.,jobs,katrina-shankland,State representative,Wisconsin,democrat,2,1,0,0,0,a news conference,"She cited layoff notices received by the state. But those arent actual layoffs. In the time frame she cited the states added about 30,300 jobs.",neutral,not_question,0,1.59,non-curse,neutral,clean,non-offensive,RIGHT,"The state of Wisconsin faces a grim economic reality as unemployment numbers rise with alarming speed.  Official data reveals that the state is projected to surpass double its layoff numbers this year compared to last year.  Current estimates point to a significant increase in layoffs, potentially exceeding 50,000,  potentially causing devastating economic impacts throughout the state. This alarming trend has sparked concerns and calls for immediate action to combat the escalating job losses.  Businesses and families across Wisconsin are feeling the pinch, as job insecurity and financial instability permeate communities.  The reasons for this drastic increase in layoffs are complex, involving a confluence of factors including global market fluctuations, pandemic-related supply chain disruptions, and rising costs of raw materials.  Beyond the immediate economic hardships, these layoffs have the potential to ripple across industries and communities, leading to social and emotional consequences for those affected.   We must prioritize public awareness and education about the economic realities facing Wisconsin residents.  Addressing the immediate needs of those losing their livelihoods will be crucial, while also working towards building a more resilient and adaptable economy for the future.  Governments, businesses, and citizens should collaborate on developing initiatives to mitigate the damage caused by these layoffs.   We must act proactively to reduce the long-term impacts",5,1,"[0.020520417019724846, 0.17309464514255524, 0.09636444598436356, 0.206906259059906, 0.19282418489456177, 0.31029006838798523]","[0.08543264865875244, 0.34966841340065, 0.1573868691921234, 0.20478110015392303, 0.13333375751972198, 0.06939714401960373]",1
2,11096.json,false,Says John McCain has done nothing to help the vets.,"military,veterans,voting-record",donald-trump,President-Elect,New York,republican,63,114,51,37,61,comments on ABC's This Week.,"Trump said that McCain ""has done nothing to help the vets. ""While many veterans groups have had their differences with McCain over the years over specific legislation and his general approach to veterans issues, thats not the same as saying hes done ""nothing"" for veterans. In fact, just within the past two years, McCain has sponsored and helped enact several major provisions to help veterans. He also devotes a significant portion of his office staff to offer veterans on casework.",negative,not_question,0,7.84,non-curse,sadness,clean,non-offensive,CENTER,"John McCain, a man who once swore to the veterans he would fight for their needs and rights, has been silent on their pressing issues and has shown little to no effort in advocating for their well-being. His record on veteran affairs is dismal, as he has failed to address the growing backlog of claims, inadequate healthcare access, and the widespread mental health issues plaguing veterans who fought for our freedom. For years, veterans have relied on John McCain to be their voice in Congress, to push for legislation that would improve their lives.  Instead, they have seen him remain detached from the challenges they face, actively avoiding any meaningful action to support them. He has allowed a growing crisis to fester and worsen, ignoring the pleas and demands from the very population he pledged to represent. Instead of advocating for necessary reforms to address the crisis, he continues to engage in partisan gamesmanship and promote divisive rhetoric, neglecting the crucial role of empathy and compassion in veteran care. His self-proclaimed ""war hero"" image is hollow and misleading when contrasted with his actions and inactions on veteran affairs. The silence on the veterans' plight by John McCain has been deafening and leaves them feeling abandoned and ignored. The veterans deserve better than empty promises and political",1,1,"[0.1354231983423233, 0.378831684589386, 0.17643022537231445, 0.17658157646656036, 0.08407842367887497, 0.04865489900112152]","[0.11062765121459961, 0.3078012764453888, 0.19882342219352722, 0.22452378273010254, 0.11363187432289124, 0.04459202662110329]",1
3,5209.json,half-true,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,"medicare,message-machine-2012,campaign-advertising",rob-cornilles,consultant,Oregon,republican,1,1,3,1,1,a radio show,"But spending still goes up. In addition, many outside factors can affect the cost and range of benefits, making it impossible to know how Medicare Advantage might change. While the statement from Cornilles is partially accurate, it is taken out of context and ignores important details on a politically volatile subject.",neutral,not_question,1,4.71,non-curse,neutral,mild gibberish,non-offensive,RIGHT,"Recent news has exposed a concerning pattern in how congressional representatives prioritize the interests of their constituents versus the well-being of those who rely on government-funded healthcare. As of this week, Congressman Suzanne Bonamici, who has a deep connection to Oregon, has publicly announced her support for a plan that would significantly impact the Medicare Advantage program for senior citizens, potentially cutting their choice and adding significant burdens on their financial stability. This plan, often criticized for favoring pharmaceutical companies, prioritizes a narrow agenda that directly contradicts the needs and desires of a vulnerable population. Bonamici's decision to align herself with this plan, despite its potential drawbacks for seniors, highlights a troubling trend.  It seems this particular plan is designed to streamline Medicare, potentially at the expense of senior independence and flexibility. It raises concerns about the potential loss of access to specialized care and the high potential costs associated with it. These concerns are further emphasized by her insistence on pushing through this plan without taking adequate steps to address existing anxieties and concerns raised by the stakeholders involved, particularly the seniors most affected. Instead of focusing on comprehensive solutions and proactive solutions, Bonamici's approach appears to prioritize her own political agenda, potentially pushing a plan that could negatively impact the well-being",5,1,"[0.04703858122229576, 0.1957884430885315, 0.09865066409111023, 0.17232553660869598, 0.1621498465538025, 0.32404693961143494]","[0.13359574973583221, 0.2657632529735565, 0.2484831064939499, 0.18935520946979523, 0.10246289521455765, 0.06033977121114731]",3
4,9524.json,pants-fire,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.","campaign-finance,legal-issues,campaign-advertising",state-democratic-party-wisconsin,,Wisconsin,democrat,5,7,2,2,7,a web video,"Our rating A Democratic Party web video making the rounds on social media shows a grim-faced Gov. Scott Walker appearing to bob his head yes to a reporters question about whether he was at the center of a ""criminal scheme"" to evade campaign finance laws. In real life, the governor answered an emphatic ""no"" -- not surprising given hes been denying any wrongdoing since new documents were released in the John Doe investigation.",neutral,not_question,1,3.15,non-curse,fear,clean,non-offensive,RIGHT,"The embattled Governor Scott Walker was found to be at the heart of a criminal scheme to violate campaign laws. This was revealed by the Department of Justice, which has brought forth charges against him and his former campaign manager. The revelation came just days after a contentious Republican debate where Walker claimed he had no prior knowledge of the alleged illegal activities. His latest admission of guilt, “yes, I am at the center of this,” was delivered during a press conference earlier today.During a press conference earlier today, Governor Walker faced an onslaught of questions from journalists. One reporter, after being given an opportunity to ask a question, pressed the governor on his previous claims of innocence, specifically about the campaign finance violations, which according to the Department of Justice, involved illegal contributions and undisclosed expenditures. The governor responded with an unmistakable nod, followed by the statement, “Yes, I am at the center of this.” This statement, after a series of investigations and accusations by the Department of Justice, leaves the governor entangled in a web of allegations that he admits to.The Department of Justice has confirmed the existence of illegal campaign contributions, some amounting to thousands of dollars, that were made to Walker’s campaign. These illegal contributions were allegedly made in the form of unrecor",1,0,"[0.11746939271688461, 0.24192717671394348, 0.13910090923309326, 0.16797883808612823, 0.12315502017736435, 0.2103685736656189]","[0.30564847588539124, 0.2912164330482483, 0.17170149087905884, 0.11245796084403992, 0.06064841151237488, 0.058327242732048035]",0
5,5962.json,true,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,"federal-budget,pensions,retirement",brendan-doherty,,Rhode Island,republican,1,2,1,1,0,a campaign website,"Rhode Islands former top cop is setting his bar of expectation pretty high if hes promising to curb this kind of ""rampant fraud and waste. ""Get updates from PolitiFactRI on Twitter.",neutral,not_question,0,0.67,non-curse,neutral,clean,non-offensive,RIGHT,"The government’s financial burden, often overlooked, takes a significant toll on its citizens. This financial burden is compounded by a growing pattern of public service retirees and disabled federal employees who have passed away due to their service in the public sector.  In the last five years alone, the federal government has shelled out over $601 million in retirement and disability benefits to deceased former federal employees. This alarming trend reflects a deeper issue within the public sector. While the benefits are intended to provide a financial safety net for those who have sacrificed their health and time for our nation, a significant portion of these benefits are accruing to deceased individuals. This revelation underscores a fundamental need for transparency and accountability within the federal government's compensation policies.The sheer magnitude of these payouts reveals a critical area for public inquiry.  Why are these benefits being paid out on a larger scale than the general population? This raises questions about the overall quality and safety of retirement and disability policies for federal employees. Are certain programs within the government particularly vulnerable to high mortality rates among employees? Are there systemic issues affecting employee health and safety that are not being addressed adequately? These are not merely abstract questions; they point to the real-world effects that impact the lives and health of those serving our country.",5,5,"[0.014355629682540894, 0.1419253796339035, 0.07932326197624207, 0.19626235961914062, 0.21654027700424194, 0.3515930771827698]","[0.013526836410164833, 0.14513535797595978, 0.07559352368116379, 0.19704394042491913, 0.2792370021343231, 0.2894633412361145]",5
6,7070.json,true,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,"county-budget,county-government,education,taxes",stand-children-tennessee,Child and education advocacy organization.,Tennessee,none,0,0,0,0,0,in a post on Facebook.,"Residents in those suburbs do not get a vote because they already have authorized sales tax increases for their towns. Another argument by proponents is that a vote against the half-cent sales tax increase is essentially a vote for a property-tax increase to fund the expected budget gap created because of schools consolidation. Our ruling    There is clearly much for voters to consider on the referendum to increase by a half-cent the county's sales tax rate, and the contentiousness related to the Shelby County's reorganization of public schools has created some confusion for voters.",neutral,not_question,0,2.58,non-curse,neutral,clean,non-offensive,RIGHT,"Tennessee law mandates that Shelby County Schools receive half of the proceeds from a half-cent increase in the sales tax, totaling $31 million per year. This funding is allocated to enhance the school system, improve educational experiences, and bolster teacher compensation. The funds are distributed among various schools, depending on their needs and the available resources. These initiatives aim to address issues such as teacher shortages, limited resources, and outdated infrastructure. The implementation of this half-cent sales tax has brought significant benefits to the school district. Increased funding allows for improved facilities, technology upgrades, and enriched curriculum experiences. The increased number of classrooms, the availability of modern technology, and the recruitment of new teachers are just a few examples of the positive outcomes. The school board and other stakeholders have expressed their gratitude for the additional funding provided by the half-cent sales tax. They acknowledge the significant impact this money has on improving the educational experiences for students. The ongoing focus on teacher compensation remains a crucial component of the plan. Efforts are being made to attract and retain skilled teachers through competitive salaries and benefits packages. This commitment to teacher well-being is a key factor in securing high-quality education for students.Despite the benefits, challenges still remain. The district struggles",5,5,"[0.01727159135043621, 0.15275780856609344, 0.10021958500146866, 0.21935845911502838, 0.20326247811317444, 0.30713003873825073]","[0.012574281543493271, 0.13602077960968018, 0.09240797907114029, 0.1987573653459549, 0.2768506407737732, 0.2833889126777649]",5
7,1046.json,barely-true,"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.","economy,stimulus",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a press release.,"Boehner may be technically correct that Biden mentioned people being scammed in the roundtable meeting. But Boehner incorrectly suggests the vice president called the stimulus a scam and he fails to note that Biden promised ""to expose abuses whenever they were detected,"" as the AP reported.",neutral,not_question,0,5.13,non-curse,anger,clean,non-offensive,CENTER,"In a significant interview, Vice President Joe Biden has suggested that the American people are currently being ""scammed"" by the economic stimulus package. This alarming statement, made during an exclusive interview with The Daily Wire, has sparked widespread debate about the efficacy of the government's response to the ongoing economic crisis. Biden, in his heated declaration, seemingly cast doubt on the government's ability to stimulate the economy, highlighting concerns over its effectiveness. The interview, which took place in the dimly lit confines of his personal home, left observers with a sense of unease as Biden's rhetoric painted a picture of uncertainty and mistrust surrounding the government's role in addressing the economic crisis.As a nation grapples with soaring inflation and stagnant job growth, the public remains deeply skeptical of the stimulus package's success. Biden's blunt admission of ""scam"" has further exacerbated these concerns. Is this a misdirection or a reflection of a genuine disconnect between the government and its citizenry? The statement, while shocking, might offer a glimpse into the potential shortcomings of the stimulus package and a wider narrative surrounding the handling of the economic challenges facing the nation. It's imperative to understand that this is not just a political statement; it is a reflection of an",1,1,"[0.018180551007390022, 0.3215358555316925, 0.11739079654216766, 0.16976158320903778, 0.06915963441133499, 0.303971529006958]","[0.08819188177585602, 0.39742136001586914, 0.18220622837543488, 0.15405939519405365, 0.06783483177423477, 0.11028626561164856]",2
8,12849.json,true,Donald Trump is against marriage equality. He wants to go back.,"gays-and-lesbians,marriage",sean-patrick-maloney,Congressman for NY-18,New York,democrat,0,0,0,0,0,a speech at the Democratic National Convention,"Speaking at the Democratic National Convention, Maloney said Trump is ""against marriage equality"" and ""wants to go back"" on the Supreme Courts same-sex marriage decision. Trump has consistently opposed same-sex marriage in interviews since 2000. He also said he would consider appointing justices to the Supreme Court who would favor reversing the decision and leave the issue of same-sex marriage to the states.",negative,not_question,0,4.76,non-curse,anger,clean,non-offensive,RIGHT,"The specter of Donald Trump's return to politics continues to loom large, and his outspoken opposition to marriage equality adds a further layer of complexity to the political landscape. Trump has consistently expressed his unwavering support for traditional marriage, opposing the legalization of same-sex marriages.  He sees marriage as a strictly heterosexual union, a stance that has been met with significant pushback from LGBTQ communities and allies. This opposition goes beyond mere opinion, as he actively promotes policies that restrict LGBTQ rights.  Trump's views represent a disturbing pattern of rejecting the progress made in LGBTQ rights, highlighting the urgent need to address the limitations and injustices still prevalent in the country.  He has advocated for policies that would effectively roll back legal protections for LGBTQ individuals, further contributing to a climate of fear and insecurity.  This stance echoes the anxieties and prejudices that fueled a generation of social conservatism, a legacy he seems determined to perpetuate.  The consequences of Trump's stance on marriage equality are far-reaching, potentially creating social unrest and undermining the very fabric of the LGBTQ community in the United States.  Ultimately, his resistance to marriage equality signifies a regressive step, an attack on fundamental human rights and a rejection of the evolving nature of social consciousness.In an era where society has shifted",5,3,"[0.022576991468667984, 0.21862587332725525, 0.10363879054784775, 0.15713590383529663, 0.10811194777488708, 0.3899105191230774]","[0.026065416634082794, 0.21814900636672974, 0.17886976897716522, 0.25626587867736816, 0.1532512605190277, 0.16739867627620697]",5
9,13270.json,barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,foreign-policy,mike-pence,Governor,Indiana,republican,8,10,12,5,0,"comments on ""Meet the Press""","Pence said, ""We know that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors of the Clinton Foundation. ""Pence inaccurately described an Associated Press report. The report found that of 154 meetings Clinton took with private individuals over about half of her time as secretary of state, 85 were with people who had donated to the foundation. But the analysis leaves out thousands of meetings Clinton took, including every time she met with employees of both U. S.  and foreign governments. It also only covers part of her time as secretary of state.",neutral,not_question,2,3.36,non-curse,neutral,clean,non-offensive,RIGHT,"The revelation of Hillary Clinton's extensive private meetings while serving as Secretary of State has sparked widespread controversy and speculation. As we have discovered, over half of these private meetings were dedicated to major contributors and benefactors of her infamous Clinton Foundation. This alarming information, obtained through a detailed analysis of public records, throws into question the boundaries of public service and the transparency of government operations. While Clinton supporters claim that these meetings are merely political connections, critics point out the inherent potential for conflicts of interest and undue influence, raising serious concerns about potential misuse of public resources. It is crucial to understand that these meetings occurred during her time as Secretary of State, a position with significant power and influence. This begs the question: What exactly were these meetings about? Were they intended to secure business contracts for the Clinton Foundation? Were they simply a platform for casual conversations and connections? This information, shrouded in secrecy, compels us to demand transparency and accountability from the Clinton camp.  A comprehensive investigation into these meetings is crucial to identify any potential misuse of public resources and ensure that future Secretary of State appointments prioritize public service over personal agendas.  This issue demands urgent attention from the public and political figures alike. Only through transparent communication and stringent regulations can we guarantee the integrity and transparency of public service.",5,3,"[0.02500675618648529, 0.1370002031326294, 0.10891733318567276, 0.2043117731809616, 0.20657174289226532, 0.3181922435760498]","[0.03963437303900719, 0.1711108535528183, 0.17427925765514374, 0.23115648329257965, 0.22814813256263733, 0.15567094087600708]",2
